0,1,0,1,2,4,3,3,2,6,6,8,11,10,18,20,24,35,30,43,63,76,110,114,156,164,247,279,320,413,414,464,482,507,543,554,569,487,446,327,361,320,288,243,160,149,139,119,94,73,67,58,37,37,25,26,25,19,15,17,17,9,11,2,3,5,2,5,4,2,3,0,1,2,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,6,0,3,3,5,8,8,8,10,18,22,29,25,44,45,64,83,108,141,151,201,240,292,328,380,383,488,510,567,572,552,516,457,428,376,368,310,277,229,175,151,112,103,76,59,49,45,43,19,33,25,21,21,13,6,8,6,7,6,5,3,1,3,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,2,1,0,0,0,1,0,3,4,3,2,6,9,7,11,9,17,33,29,50,50,63,96,94,106,146,163,228,278,324,317,365,448,444,554,524,544,538,518,469,397,339,332,267,253,172,139,125,134,95,73,73,72,44,40,24,23,23,10,20,15,7,10,17,11,6,4,2,1,1,0,3,3,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,6,2,8,5,7,12,16,18,27,27,43,57,69,72,84,95,121,126,162,209,237,245,314,380,438,454,539,518,539,540,531,442,422,375,338,287,228,228,168,137,113,115,93,58,59,37,42,35,30,23,20,16,22,16,7,12,2,5,2,5,9,2,4,2,1,2,3,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,2,5,4,5,7,5,13,14,21,23,30,32,59,85,81,121,166,186,204,246,310,369,404,461,491,461,503,547,451,501,446,453,395,317,267,242,223,168,158,130,114,99,73,52,40,59,37,27,28,19,22,13,22,11,9,13,11,10,5,3,7,2,2,2,1,1,0,0,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,1,0,2,3,1,6,5,12,6,4,12,6,19,30,33,33,51,56,54,66,96,116,136,151,190,214,255,341,398,427,462,513,529,543,533,474,466,423,347,330,319,238,208,192,131,111,112,81,77,59,52,49,44,30,28,27,24,20,9,16,7,7,6,2,8,6,5,5,3,0,3,3,0,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,2,2,4,3,10,8,13,16,19,29,40,47,63,82,103,122,138,186,223,267,321,377,393,435,482,557,532,546,544,513,484,393,391,338,285,243,172,159,152,101,78,69,63,52,45,36,33,24,20,17,21,15,5,5,14,8,6,2,3,2,0,4,1,3,1,1,2,1,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,3,2,7,7,11,16,19,16,43,40,40,54,69,99,129,121,184,239,256,332,373,448,485,494,559,574,567,558,550,464,411,379,288,239,204,183,131,129,125,87,68,46,39,37,25,30,25,17,15,14,14,14,12,6,4,6,4,4,4,2,1,0,1,0,0,0,1,1,1,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,3,1,2,0,4,4,10,10,12,11,9,13,13,16,23,28,35,43,78,76,111,109,127,168,193,219,256,315,367,405,487,456,580,547,536,533,523,410,385,320,282,265,218,147,149,116,104,95,58,50,70,36,39,27,22,24,16,13,15,7,11,8,2,3,6,4,7,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,2,2,3,5,5,13,9,9,21,12,27,40,52,56,50,73,99,125,179,183,232,270,363,362,447,495,502,589,564,569,532,454,429,405,311,293,247,212,189,145,153,114,74,60,55,46,32,39,30,27,12,18,3,8,8,7,7,7,4,4,2,2,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,3,3,1,2,6,7,16,16,16,25,27,36,33,53,71,73,120,140,180,226,280,330,376,399,495,468,563,531,505,510,484,464,390,399,311,271,228,202,165,157,117,107,91,72,56,46,38,30,23,20,18,13,12,11,17,6,6,5,8,2,4,1,4,1,3,4,2,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
